transaction_id,amount,transaction_count,account_age_days,risk_score,fraud
TXN00001,2500.0,25,10,3,1
TXN00002,100.0,2,365,0,0
TXN00003,383.93,29,422,1,0
TXN00004,464.32,7,1078,0,0
TXN00005,25.76,10,1255,0,0
TXN00006,49.29,25,1551,1,0
TXN00007,205.99,27,902,1,0
TXN00008,132.13,5,9,1,0
TXN00009,178.25,21,513,1,0
TXN00010,77.24,15,1558,0,0
TXN00011,436.77,21,974,1,0
TXN00012,394.57,39,1130,1,0
TXN00013,193.65,4,836,0,0
TXN00014,559.61,40,298,1,0
TXN00015,289.31,18,1637,0,0
TXN00016,76.76,31,1411,1,0
TXN00017,262.11,17,1817,0,0
TXN00018,69.49,13,1562,0,0
TXN00019,436.35,31,532,1,0
TXN00020,172.44,28,465,1,0
TXN00021,150.68,6,454,0,0
TXN00022,91.75,29,1677,1,0
TXN00023,615.57,31,1017,1,0
TXN00024,155.32,16,830,0,0
TXN00025,118.12,38,1768,1,0
TXN00026,127.47,26,1102,1,0
TXN00027,308.68,14,1660,0,0
TXN00028,261.24,1,1797,0,0
TXN00029,273.89,27,145,1,0
TXN00030,278.89,9,660,0,0
TXN00031,1543.25,31,1340,2,1
TXN00032,120.73,22,1485,1,0
TXN00033,108.61,19,271,0,0
TXN00034,80.34,7,582,0,0
TXN00035,335.62,29,1001,1,0
TXN00036,560.58,7,1459,0,0
TXN00037,161.75,17,207,0,0
TXN00038,78.24,34,1097,1,0
TXN00039,79.48,37,542,1,0
TXN00040,347.44,40,395,1,0
TXN00041,381.17,39,941,1,0
TXN00042,312.05,23,756,1,0
TXN00043,93.18,9,1161,0,0
TXN00044,228.64,34,580,1,0
TXN00045,203.71,33,1503,1,0
TXN00046,225.58,40,143,1,0
TXN00047,433.3,27,1573,1,0
TXN00048,226.69,6,55,0,0
TXN00049,357.42,21,1344,1,0
TXN00050,193.95,18,633,0,0
TXN00051,242.04,34,700,1,0
TXN00052,340.8,16,35,0,0
TXN00053,42.22,14,1282,0,0
TXN00054,131.67,4,303,0,0
TXN00055,113.25,34,1203,1,0
TXN00056,95.69,31,1324,1,0
TXN00057,137.67,2,1543,0,0
TXN00058,808.31,18,1293,0,0
TXN00059,76.26,20,551,1,0
TXN00060,477.36,19,1348,0,0
TXN00061,33.69,37,1508,1,0
TXN00062,129.69,7,579,0,0
TXN00063,213.31,13,227,0,0
TXN00064,325.78,8,1625,0,0
TXN00065,369.16,10,270,0,0
TXN00066,400.75,37,1084,1,0
TXN00067,127.9,38,432,1,0
TXN00068,114.17,2,230,0,0
TXN00069,427.51,26,1417,1,0
TXN00070,149.71,10,263,0,0
TXN00071,50.62,8,1224,0,0
TXN00072,58.36,12,1265,0,0
TXN00073,72.28,8,110,0,0
TXN00074,298.02,20,316,0,0
TXN00075,209.02,40,1450,1,0
TXN00076,361.58,24,926,1,0
TXN00077,118.24,29,222,1,0
TXN00078,212.41,20,1810,1,0
TXN00079,338.86,1,484,0,0
TXN00080,133.04,4,8,1,0
TXN00081,286.22,11,1687,0,0
TXN00082,93.51,10,31,0,0
TXN00083,126.08,34,1010,0,0
TXN00084,123.75,34,1813,1,0
TXN00085,54.83,35,1055,1,0
TXN00086,295.0,26,1067,1,0
TXN00087,113.36,23,709,1,0
TXN00088,183.55,26,232,1,0
TXN00089,293.17,17,1046,0,0
TXN00090,283.31,27,1638,1,0
TXN00091,352.62,32,167,1,0
TXN00092,164.27,31,1607,1,0
TXN00093,118.71,25,758,1,0
TXN00094,167.38,3,979,0,0
TXN00095,33.54,29,302,0,0
TXN00096,42.64,15,1135,0,0
TXN00097,48.29,30,333,1,0
TXN00098,66.87,22,499,1,0
TXN00099,270.37,36,1317,1,0
TXN00100,73.3,14,93,0,0
TXN00101,124.19,38,817,1,0
TXN00102,664.63,34,1086,1,0
TXN00103,126.94,14,241,0,0
TXN00104,378.99,20,538,1,0
TXN00105,71.26,22,627,1,0
TXN00106,147.61,31,1212,1,0
TXN00107,70.1,28,1783,1,0
TXN00108,129.15,35,1527,1,0
TXN00109,420.02,15,347,0,0
TXN00110,32.22,21,34,1,0
TXN00111,279.9,18,95,0,0
TXN00112,229.92,37,1088,1,0
TXN00113,100.07,13,286,0,0
TXN00114,42.69,24,423,1,0
TXN00115,194.83,5,1547,0,0
TXN00116,106.75,35,1595,1,0
TXN00117,228.76,16,1532,0,0
TXN00118,185.28,14,463,0,0
TXN00119,899.45,24,1131,1,0
TXN00120,142.69,20,1115,1,0
TXN00121,65.14,34,339,1,0
TXN00122,216.87,22,1011,1,0
TXN00123,225.88,21,959,1,0
TXN00124,705.7,5,724,0,0
TXN00125,417.85,1,1372,0,0
TXN00126,259.01,16,1237,0,0
TXN00127,783.13,40,973,1,0
TXN00128,55.22,37,1325,1,0
TXN00129,95.61,26,1393,1,0
TXN00130,71.77,26,1035,1,0
TXN00131,122.75,16,489,0,0
TXN00132,45.76,8,1385,1,0
TXN00133,342.12,1,1310,0,0
TXN00134,145.15,14,1795,0,0
TXN00135,41.65,13,274,0,0
TXN00136,65.66,8,766,0,0
TXN00137,248.02,11,1687,0,0
TXN00138,419.11,1,940,0,0
TXN00139,1335.06,25,1721,1,0
TXN00140,3340.46,38,23,3,1
TXN00141,274.35,28,65,1,0
TXN00142,67.39,18,1453,0,0
TXN00143,21.5,17,655,0,0
TXN00144,236.92,13,950,0,0
